month_reported,state,pcode1,municipality,pcode2,parrish,pcode3,location,latitude,longitude,disaggregation,beneficiaries
2020-11-30T00:00:00Z,distrito capital,VE01,libertador,VE0101,caricuao,VE010104,"""padre jose maria velaz""",10.428995,-67.001037,f_3_6,43
2020-10-31T00:00:00Z,distrito capital,VE01,libertador,VE0101,caricuao,VE010104,"""padre jose maria velaz""",10.428995,-67.001037,f_7_12,192
2020-11-30T00:00:00Z,distrito capital,VE01,libertador,VE0101,caricuao,VE010104,"""padre jose maria velaz""",10.428995,-67.001037,m_3_6,48
2020-10-31T00:00:00Z,distrito capital,VE01,libertador,VE0101,caricuao,VE010104,"""padre jose maria velaz""",10.428995,-67.001037,m_7_12,199
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,1 cei jebe viejo,-69.6068,11.2563,f_19_and_older,9
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,1 cei jebe viejo,-69.6068,11.2563,f_3_6,153
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,1 cei jebe viejo,-69.6068,11.2563,m_19_and_older,2
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,1 cei jebe viejo,-69.6068,11.2563,m_3_6,171
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,10 escuela primaria estadal julio cesar parra,11.0501,-71.0138,f_19_and_older,20
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,10 escuela primaria estadal julio cesar parra,11.0501,-71.0138,f_7_12,376
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,10 escuela primaria estadal julio cesar parra,11.0501,-71.0138,m_19_and_older,5
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,10 escuela primaria estadal julio cesar parra,11.0501,-71.0138,m_7_12,379
2020-10-31T00:00:00Z,falcon,VE11,miranda,VE1114,san antonio,VE111401,11 liceo nacional zumurucuare,11.4128,-69.6578,f_12_17,50
