estado,pcode1,municipio,pcode2,parroquia,pcode3,ubicacion
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,CARICUAO,VE010104,"""PADRE JOSE MARIA VELAZ"""
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,1 CEI JEBE VIEJO
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,10 ESCUELA PRIMARIA ESTADAL JULIO CESAR PARRA
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11 LICEO NACIONAL ZUMURUCUARE
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,11CEIS NINO SIMON
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS LAS EUGENIA
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,12 CEIS SAN ANTONIO
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,13 CEIS CRUZ VERDE
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,2 LICEO NACIONAL JEBE VIEJO
BOLIVAR,VE07,CARONI,VE0701,ONCE DE ABRIL,VE070104,25 DE MARZO
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,3 UPE EL RECREO
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,4CEIS LA CANDELARIA
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,5 CEIB YUSMILA QUINTERO (LA URBINA)
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,6  ESCUELA PRIMARIA ESTADAL REGINA PIA DE ANDARA
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,7 CEIS ZUMURUCUARE
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,8 CEIS CENTRO DEL NINO Y LA FAMILIA
FALCON,VE11,MIRANDA,VE1114,SAN ANTONIO,VE111401,9 CEIS PACOMIN
MONAGAS,VE16,AGUASAY,VE1602,AGUASAY,VE160201,AGUASAY (U.E.-F.Y A.)
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,LA PASTORA,VE010111,AGUSTINIANO SAN JUDAS TADEO
MIRANDA,VE15,ACEVEDO,VE1501,NA,NA,ALDEA BOLIVARIANA ´BOLIVAR Y MARTI ´
BARINAS,VE06,BARINAS,VE0604,RAMON IGNACIO MENDEZ,VE060410,ALI RAFAEL PRIMERA
LARA,VE13,IRIBARREN,VE1303,JUAN DE VILLEGAS,VE130304,ANA SOTO
MONAGAS,VE16,MATURIN,VE1608,JUSEPIN,VE160809,ANATILDE SALCEDO (E.B.-F.Y A.)
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,ANEXO MEVAL ANDRES ELOY BLANCO
MONAGAS,VE16,MATURIN,VE1608,LAS COCUIZAS,VE160804,ANGEL DE LA GUARDA (U.E.-F.Y A.)
MIRANDA,VE15,ZAMORA,VE1521,GUATIRE,VE152101,ANGEL MARIA DALO
LARA,VE13,IRIBARREN,VE1303,CONCEPCION,VE130302,BARRIO SAN VICENTE
TACHIRA,VE20,TORBES,VE2027,TORBES,VE202701,BASE DE MISIONES EL GIGANTE DE AMERICA
ZULIA,VE23,MARA,VE2312,LAS PARCELAS,VE231203,BLANCA ROSA URQUIAGA
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C E I ANA ALEJANDRINA RODRIGUEZ RIVERA
MIRANDA,VE15,SIMON BOLIVAR,VE1518,SAN FRANCISCO DE YARE,VE151801,C E I E  YARE
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,C E I GRAN SABANA MANAKRU
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,C E I LOS PINOS
LA GUAIRA,VE24,VARGAS,VE2401,CARUAO,VE240103,C E I N B JOSEFA JOAQUINA SANCHEZ
LA GUAIRA,VE24,VARGAS,VE2401,MAIQUETIA,VE240108,C E I N CERRO GUIRIGUIRI
LA GUAIRA,VE24,VARGAS,VE2401,CARUAO,VE240103,C E I N GLADYS ACOSTA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C E I N ISAIAS MEDINA ANGARITA
LA GUAIRA,VE24,VARGAS,VE2401,CARABALLEDA,VE240101,C E I N JOSE FELIX RIBAS
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,C E I N LOS PEQUENOS PINTORES
LA GUAIRA,VE24,VARGAS,VE2401,CARUAO,VE240103,C E I N MACARIA ROMERO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C E I N NELLY CUERVO DE GUINAND BALDO
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SUCRE,VE010121,C E I N PEDRO ELIAS GUTIERREZ
LA GUAIRA,VE24,VARGAS,VE2401,CARLOS SOUBLETTE,VE240111,C E I N PEDRO JOSE LINARES
LA GUAIRA,VE24,VARGAS,VE2401,CATIA LA MAR,VE240104,C E I N SECTOR LOS OLIVOS
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,C E I N VENEZUELA
LARA,VE13,IRIBARREN,VE1303,JUAN DE VILLEGAS,VE130304,C E I ROMULO GALLEGOS
LA GUAIRA,VE24,VARGAS,VE2401,NAIGUATA,VE240109,C E I S NAIGUATA
BOLIVAR,VE07,GRAN SABANA,VE0704,SECCION CAPITAL GRAN SABANA,VE070401,C E I WARA
AMAZONAS,VE02,AUTANA,VE0204,AUTONOMO AUTANA,VE020400,C E I YAVILUTA
LA GUAIRA,VE24,VARGAS,VE2401,CARAYACA,VE240102,C I B CARAYACA
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C. E. I. CREACION COLONCITO
TACHIRA,VE20,PANAMERICANO,VE2019,LA PALMITA,VE201902,C. E. I. JOSE MARIA CORDOBA
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C. E. I. JOSE MARIA CORDOBA
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,SAN BERNANDINO,VE010115,C.A.A. SAN BERNARDINO
ZULIA,VE23,MARA,VE2312,LUIS DE VICENTE,VE231204,C.D CARLOS URDANETA
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151501,C.E EL PALMAR
TACHIRA,VE20,INDEPENDENCIA,VE2011,ROMAN CARDENAS,VE201103,"C.E.I ""RAMONBUENAHORA"""
TACHIRA,VE20,INDEPENDENCIA,VE2011,INDEPENDENCIA,VE201101,"C.E.I ""TARABAY"""
ZULIA,VE23,MIRANDA,VE2314,ALTAGRACIA,VE231401,C.E.I ABECEDARIO DEL NINO
ZULIA,VE23,ANTONIO JOSE DE SUCRE,VE2320,EL BATEY,VE232002,C.E.I DONA MENCA DE LEONI
MIRANDA,VE15,PAZ CASTILLO,VE1515,SANTA LUCIA,VE151101,C.E.I EMMA MORALES
ZULIA,VE23,SAN FRANCISCO,VE2317,SAN FRANCISCO,VE231701,C.E.I.  CANTO Y JUEGO
ZULIA,VE23,MARACAIBO,VE2313,FRANCISCO EUGENIO BUSTAMANTE,VE231309,C.E.I.  SOL DE PAPEL
ZULIA,VE23,MARACAIBO,VE2313,BOLIVAR,VE231302,C.E.I.  SOY FELIZ
TACHIRA,VE20,INDEPENDENCIA,VE2011,INDEPENDENCIA,VE201101,"C.E.I. ""MARISCAL SUCRE"""
TACHIRA,VE20,SAMUEL DARIO MALDONADO,VE2022,SAMUEL DARIO MALDONADO,VE202201,C.E.I. ANA IDES LABRADOR
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. BOLIVAR NINO
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. BRINOLFO JAIMES TORRES
ZULIA,VE23,COLON,VE2305,SAN CARLOS DEL ZULIA,VE230501,C.E.I. COLON
ZULIA,VE23,SAN FRANCISCO,VE2317,DOMITILA FLORES,VE231703,C.E.I. COLORIN COLORADO
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. DEBORA MEDINA VIVAS
ZULIA,VE23,MARACAIBO,VE2313,CHIQUINQUIRA,VE231308,C.E.I. DOLORES VARGAS
DISTRITO CAPITAL,VE01,LIBERTADOR,VE0101,EL RECREO,VE010109,C.E.I. DON BOSCO CHAPELLIN
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. DON RON SANDOVAL
TACHIRA,VE20,PANAMERICANO,VE2019,PANAMERICANO,VE201901,C.E.I. DON SIMON RODRIGUEZ
ZULIA,VE23,MARACAIBO,VE2313,FRANCISCO EUGENIO BUSTAMANTE,VE231309,C.E.I. DRA GLADYS DE CARDOZO
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. FRANCISCO DE PAULA REINA
ZULIA,VE23,MARACAIBO,VE2313,FRANCISCO EUGENIO BUSTAMANTE,VE231309,C.E.I. GRAL RAFAEL URDANETA
TACHIRA,VE20,AYACUCHO,VE2003,RIVAS BERTI,VE200302,C.E.I. GRANJA SAN FELIX
TACHIRA,VE20,AYACUCHO,VE2003,AYACUCHO,VE200301,C.E.I. GUSTAVO NIETO
